@id	@lat	@lon	name	waterway	man_made	substance
877301962	20.9108047	82.7114900		ditch		
877301963	20.9044858	82.7229447		ditch		
877301964	20.9052680	82.6996640		ditch		
877301965	20.9008386	82.7057030		ditch		
877301966	20.8954718	82.7056947		ditch		
877301967	20.8902402	82.7031708		ditch		
877301968	20.8832047	82.7016556		ditch		
877301969	20.8667155	82.7222832		ditch		
877301970	20.8667737	82.7222268		ditch		
877301971	20.8610812	82.7333084		ditch		
882142179	20.9669298	83.2144900		ditch		
882142180	20.9650038	83.2144430		ditch		
882142181	20.9607368	83.2172566		ditch		
882142182	20.9736909	83.2224052		ditch		
882142183	20.9719828	83.2221771		ditch		
882142184	20.9688897	83.2230717		ditch		
882142187	20.9377019	83.2213349		ditch		
882142188	20.9419917	83.2231977		ditch		
882142189	20.9401994	83.2185012		ditch		
882142192	20.9545427	83.2136210		ditch		
882142193	20.9470857	83.2079521		ditch		
882142194	20.9441413	83.2064156		ditch		
882142195	20.9403278	83.2102823		ditch		
882142196	20.9264100	83.2085500		ditch		
882142197	20.9415500	83.2129276		ditch		
882153484	20.9565021	83.2200347		ditch		
882153485	20.9701538	83.2280183		ditch		
882153492	20.9658391	83.2250552		ditch		
882153493	20.9658015	83.2251705		ditch		
885692282	21.0023026	83.0621666		ditch		
885692283	21.0024673	83.0610656		ditch		
885692284	21.0023502	83.0599343		ditch		
885692285	21.0028366	83.0559620		ditch		
885692286	21.0022733	83.0653726		ditch		
885692287	21.0022006	83.0534602		ditch		
885991014	21.2051682	83.2841939		ditch		
885991015	21.2002632	83.2774591		ditch		
885991016	21.2073825	83.2684359		ditch		
885991017	21.2077801	83.2693653		ditch		
885991018	21.2015060	83.2611765		ditch		
885991019	21.2044443	83.2646594		ditch		
885991020	21.1993742	83.2564478		ditch		
885991021	21.1983768	83.2560732		ditch		
885991022	21.1988053	83.2562721		ditch		
885991023	21.1984590	83.2561501		ditch		
885991024	21.2004782	83.2588456		ditch		
885991025	21.1889871	83.2818979		ditch		
885991026	21.1897937	83.2913152		ditch		
885991027	21.1911317	83.2691266		ditch		
885991028	21.1698687	83.2879564		ditch		
885991029	21.1689995	83.2905916		ditch		
885991030	21.1709455	83.2817759		ditch		
885991033	21.1741719	83.2789489		ditch		
885991034	21.1773852	83.2759441		ditch		
885991035	21.1774553	83.2759693		ditch		
885991036	21.1703752	83.2848255		ditch		
885991037	21.1777341	83.2756055		ditch		
885991038	21.1795799	83.2827080		ditch		
